Album ID,Album name,Album release date,Album release date precision ,total no. of tracks in album,album popularity
78bpIziExqiI9qztvNFlQu,AM,09/09/2013,day,12,90
3W9NClLDhTHyRmy8ZLfoJf,Freedom Child,01/09/2017,day,14,54
0bUTHlWbkSQysoM3VsWldT,Demon Days,23/05/2005,day,15,78
0FZK97MXMm5mUQ8mtudjuK,The Black Parade,23/10/2006,day,14,80
712X8QUI6uWg1JxHmz0l4I,Future Hearts,07/04/2015,day,13,57
5rtaHEtZdWQSrKJmuqPTB0,Science & Faith,13/09/2010,day,10,62
3CwCyyfZizaKd1DQH2cXZL,Songs from the Next Step: Season 2,27/05/2014,day,18,45
6yd9yk8nFcHalXzy7mgaDx,No Sound Without Silence,15/09/2014,day,11,67
7JOCOjZTcLysDMkZGWlcIj,#3 Deluxe Version,10/09/2012,day,17,73
2hWSBJTWE0ce0NqJv2vzCc,The Script,14/07/2008,day,11,62
2NDlOOZNBvq6B26feV4gJc,WELCOME HOME,18/04/2019,day,9,56
2xkZV2Hl1Omi8rk2D7t5lN,The New Abnormal,10/04/2020,day,9,74
1kwAv74rVTTGMpawGsXtiE,Wake Up||| Sunshine,03/04/2020,day,15,63
6qb9MDR0lfsN9a2pw77uJy,How To Be A Human Being,26/08/2016,day,11,70
6ApYSpXF8GxZAgBTHDzYge,Pray for the Wicked,22/06/2018,day,11,73
2bRuz8O3J5znovRh5oibpS,Songs from The Next Step: Season 3 Volume 1,17/03/2015,day,18,34
3xim4RhfkQcEA0lTT2hEr0,Songs from The Next Step: Season 1,12/11/2013,day,17,41
5V7fiKBlG3vUHM8x4T0O3W,Live on Stage: Songs From the Tour Volume 1,01/01/2013,day,13,39
3cQO7jp5S9qLBoIVtbkSM1,Blurryface,15/05/2015,day,14,82
4h3HXlnt6lryGzGbWmcFuY,Level of Concern,09/04/2020,day,1,55
0Q5XBpCYFgUWiG9DUWyAmJ,Scaled And Icy,21/05/2021,day,11,68
2r2r78NE05YjyHyVbVgqFn,Vessel,08/01/2013,day,12,71
4BSDAmxxjYJnePMfh8kSJM,Sunsets & Full Moons,08/11/2019,day,9,53
1nATWShLPekWv0pH4yKrL6,Apologies,14/10/2022,day,4,20
25DhBz5cckEAFcivcSzSTo,Viva Las Vengeance,19/08/2022,day,12,56
1hxraaWEf3wFnJxADf8Dge,Too Weird to Live||| Too Rare to Die!,04/10/2013,day,10,65
6twKQ0EsUJHVlAr6XBylrj,Death of a Bachelor,15/01/2016,day,11,76
06qAr8048ptTbaxUNvWHOz,ONE PUNCH,22/10/2021,day,1,35
2iXIFbVOnctdsZrMRIA5Xg,Stranger,04/12/2020,day,1,30
6aqanpijrB8UnyqP8dHwRG,Comedown Machine,25/03/2013,day,11,0
7EzUUnyCr27SLzUmMaTjGf,Angles,21/03/2011,day,10,0
5yIIxsXGdQucmqHN82xGig,Is This It,24/08/2001,day,11,0
3kEtdS2pH6hKcMU9Wioob1,Illmatic,19/04/1994,day,10,71
1p12OAWwudgMqfMzjMvl2a,The Low End Theory,24/09/1991,day,14,65
4v5x3Oo3UjQ9YmF3hRAip5,Midnight Marauders,09/11/1993,day,14,61
3kV0i1qqudjf0PGawJ4jck,People's Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition),17/04/1990,day,17,63
1UsRA9SGdjG9aQ9G2PmKWD,Turn Around,21/05/2021,day,1,23
3Rz6kF8eGqrDOEteo5YsBj,How Did We Get So Dark?,16/06/2017,day,10,58
38sApMoA6rSg4ScXjRkJHk,cheap sodas and ice cream kisses,07/08/2020,day,8,31
